,period,period_end,pv_estimate
0,PT30M,2020-09-24T18:30:00.0000000Z,0.0
1,PT30M,2020-09-24T19:00:00.0000000Z,0.0
2,PT30M,2020-09-24T19:30:00.0000000Z,0.0
3,PT30M,2020-09-24T20:00:00.0000000Z,0.0
4,PT30M,2020-09-24T20:30:00.0000000Z,0.0
5,PT30M,2020-09-24T21:00:00.0000000Z,0.0
6,PT30M,2020-09-24T21:30:00.0000000Z,0.0
7,PT30M,2020-09-24T22:00:00.0000000Z,0.0
8,PT30M,2020-09-24T22:30:00.0000000Z,0.0
9,PT30M,2020-09-24T23:00:00.0000000Z,0.0
10,PT30M,2020-09-24T23:30:00.0000000Z,0.0
11,PT30M,2020-09-25T00:00:00.0000000Z,0.068
12,PT30M,2020-09-25T00:30:00.0000000Z,0.324
13,PT30M,2020-09-25T01:00:00.0000000Z,0.666
14,PT30M,2020-09-25T01:30:00.0000000Z,0.945
15,PT30M,2020-09-25T02:00:00.0000000Z,1.174
16,PT30M,2020-09-25T02:30:00.0000000Z,1.389
17,PT30M,2020-09-25T03:00:00.0000000Z,1.696
18,PT30M,2020-09-25T03:30:00.0000000Z,2.157
19,PT30M,2020-09-25T04:00:00.0000000Z,2.747
20,PT30M,2020-09-25T04:30:00.0000000Z,3.306
21,PT30M,2020-09-25T05:00:00.0000000Z,3.707
22,PT30M,2020-09-25T05:30:00.0000000Z,3.924
23,PT30M,2020-09-25T06:00:00.0000000Z,3.957
24,PT30M,2020-09-25T06:30:00.0000000Z,3.847
25,PT30M,2020-09-25T07:00:00.0000000Z,3.639
26,PT30M,2020-09-25T07:30:00.0000000Z,3.354
27,PT30M,2020-09-25T08:00:00.0000000Z,3.016
28,PT30M,2020-09-25T08:30:00.0000000Z,2.632
29,PT30M,2020-09-25T09:00:00.0000000Z,2.167
30,PT30M,2020-09-25T09:30:00.0000000Z,1.679
31,PT30M,2020-09-25T10:00:00.0000000Z,1.158
32,PT30M,2020-09-25T10:30:00.0000000Z,0.672
33,PT30M,2020-09-25T11:00:00.0000000Z,0.232
34,PT30M,2020-09-25T11:30:00.0000000Z,0.022
35,PT30M,2020-09-25T12:00:00.0000000Z,0.0
36,PT30M,2020-09-25T12:30:00.0000000Z,0.0
37,PT30M,2020-09-25T13:00:00.0000000Z,0.0
38,PT30M,2020-09-25T13:30:00.0000000Z,0.0
39,PT30M,2020-09-25T14:00:00.0000000Z,0.0
40,PT30M,2020-09-25T14:30:00.0000000Z,0.0
41,PT30M,2020-09-25T15:00:00.0000000Z,0.0
42,PT30M,2020-09-25T15:30:00.0000000Z,0.0
43,PT30M,2020-09-25T16:00:00.0000000Z,0.0
44,PT30M,2020-09-25T16:30:00.0000000Z,0.0
45,PT30M,2020-09-25T17:00:00.0000000Z,0.0
46,PT30M,2020-09-25T17:30:00.0000000Z,0.0
47,PT30M,2020-09-25T18:00:00.0000000Z,0.0
48,PT30M,2020-09-25T18:30:00.0000000Z,0.0
49,PT30M,2020-09-25T19:00:00.0000000Z,0.0
50,PT30M,2020-09-25T19:30:00.0000000Z,0.0
51,PT30M,2020-09-25T20:00:00.0000000Z,0.0
52,PT30M,2020-09-25T20:30:00.0000000Z,0.0
53,PT30M,2020-09-25T21:00:00.0000000Z,0.0
54,PT30M,2020-09-25T21:30:00.0000000Z,0.0
55,PT30M,2020-09-25T22:00:00.0000000Z,0.0
56,PT30M,2020-09-25T22:30:00.0000000Z,0.0
57,PT30M,2020-09-25T23:00:00.0000000Z,0.0
58,PT30M,2020-09-25T23:30:00.0000000Z,0.0
59,PT30M,2020-09-26T00:00:00.0000000Z,0.087
60,PT30M,2020-09-26T00:30:00.0000000Z,0.462
61,PT30M,2020-09-26T01:00:00.0000000Z,0.874
62,PT30M,2020-09-26T01:30:00.0000000Z,1.135
63,PT30M,2020-09-26T02:00:00.0000000Z,1.234
64,PT30M,2020-09-26T02:30:00.0000000Z,1.266
65,PT30M,2020-09-26T03:00:00.0000000Z,1.433
66,PT30M,2020-09-26T03:30:00.0000000Z,1.892
67,PT30M,2020-09-26T04:00:00.0000000Z,2.604
68,PT30M,2020-09-26T04:30:00.0000000Z,3.319
69,PT30M,2020-09-26T05:00:00.0000000Z,3.839
70,PT30M,2020-09-26T05:30:00.0000000Z,4.131
71,PT30M,2020-09-26T06:00:00.0000000Z,4.174
72,PT30M,2020-09-26T06:30:00.0000000Z,4.033
73,PT30M,2020-09-26T07:00:00.0000000Z,3.809
74,PT30M,2020-09-26T07:30:00.0000000Z,3.517
75,PT30M,2020-09-26T08:00:00.0000000Z,3.199
76,PT30M,2020-09-26T08:30:00.0000000Z,2.792
77,PT30M,2020-09-26T09:00:00.0000000Z,2.335
78,PT30M,2020-09-26T09:30:00.0000000Z,1.82
79,PT30M,2020-09-26T10:00:00.0000000Z,1.263
80,PT30M,2020-09-26T10:30:00.0000000Z,0.729
81,PT30M,2020-09-26T11:00:00.0000000Z,0.249
82,PT30M,2020-09-26T11:30:00.0000000Z,0.022
83,PT30M,2020-09-26T12:00:00.0000000Z,0.0
84,PT30M,2020-09-26T12:30:00.0000000Z,0.0
85,PT30M,2020-09-26T13:00:00.0000000Z,0.0
86,PT30M,2020-09-26T13:30:00.0000000Z,0.0
87,PT30M,2020-09-26T14:00:00.0000000Z,0.0
88,PT30M,2020-09-26T14:30:00.0000000Z,0.0
89,PT30M,2020-09-26T15:00:00.0000000Z,0.0
90,PT30M,2020-09-26T15:30:00.0000000Z,0.0
91,PT30M,2020-09-26T16:00:00.0000000Z,0.0
92,PT30M,2020-09-26T16:30:00.0000000Z,0.0
93,PT30M,2020-09-26T17:00:00.0000000Z,0.0
94,PT30M,2020-09-26T17:30:00.0000000Z,0.0
95,PT30M,2020-09-26T18:00:00.0000000Z,0.0
96,PT30M,2020-09-26T18:30:00.0000000Z,0.0
97,PT30M,2020-09-26T19:00:00.0000000Z,0.0
98,PT30M,2020-09-26T19:30:00.0000000Z,0.0
99,PT30M,2020-09-26T20:00:00.0000000Z,0.0
100,PT30M,2020-09-26T20:30:00.0000000Z,0.0
101,PT30M,2020-09-26T21:00:00.0000000Z,0.0
102,PT30M,2020-09-26T21:30:00.0000000Z,0.0
103,PT30M,2020-09-26T22:00:00.0000000Z,0.0
104,PT30M,2020-09-26T22:30:00.0000000Z,0.0
105,PT30M,2020-09-26T23:00:00.0000000Z,0.0
106,PT30M,2020-09-26T23:30:00.0000000Z,0.0
107,PT30M,2020-09-27T00:00:00.0000000Z,0.082
108,PT30M,2020-09-27T00:30:00.0000000Z,0.418
109,PT30M,2020-09-27T01:00:00.0000000Z,0.867
110,PT30M,2020-09-27T01:30:00.0000000Z,1.33
111,PT30M,2020-09-27T02:00:00.0000000Z,1.788
112,PT30M,2020-09-27T02:30:00.0000000Z,2.23
113,PT30M,2020-09-27T03:00:00.0000000Z,2.619
114,PT30M,2020-09-27T03:30:00.0000000Z,2.938
115,PT30M,2020-09-27T04:00:00.0000000Z,3.199
116,PT30M,2020-09-27T04:30:00.0000000Z,3.415
117,PT30M,2020-09-27T05:00:00.0000000Z,3.589
118,PT30M,2020-09-27T05:30:00.0000000Z,3.747
119,PT30M,2020-09-27T06:00:00.0000000Z,3.856
120,PT30M,2020-09-27T06:30:00.0000000Z,3.856
121,PT30M,2020-09-27T07:00:00.0000000Z,3.754
122,PT30M,2020-09-27T07:30:00.0000000Z,3.534
123,PT30M,2020-09-27T08:00:00.0000000Z,3.21
124,PT30M,2020-09-27T08:30:00.0000000Z,2.822
125,PT30M,2020-09-27T09:00:00.0000000Z,2.382
126,PT30M,2020-09-27T09:30:00.0000000Z,1.901
127,PT30M,2020-09-27T10:00:00.0000000Z,1.389
128,PT30M,2020-09-27T10:30:00.0000000Z,0.855
